number,url,title,author,created,updated,draft,base,files_changed,additions,deletions,mergeable_state,area,real,relevant_to_main,security,safe_to_merge,useful,verdict,human_attention,effort,blocking,duplicate_of,security_notes,notes
10621,https://github.com/cline/cline/pull/10621,docs(sdk): add Agent Threat Rules detector plugin example,eeee2345,2026-05-09,2026-07-20,False,main,3,148,0,blocked,docs,yes,yes,minor-concerns,after-changes,low,review-and-merge,yes,trivial,decide whether to keep the third-party `agent-threat-rules` npm recommendation in official docs; mergeable_state is `blocked` (missing approval) though CI is green,,"The plugin itself is safe: pure regex matching over the tool name and JSON.stringify'd input, no network calls, no filesystem access, no new runtime dependencies, and it only ever returns {stop,reason} so it can block but never widen permissions. Two soft concerns: docs/sdk/plugin-examples.mdx and the plugin header both tell users to install an optional third-party npm package `agent-threat-rules` to load the full rule pack, which puts a supply-chain recommendation in official docs; and a regex-only detector marketed as threat detection invites a false sense of security (the `sk-` credential rule also matches Anthropic keys, and the prompt-injection rules are trivially bypassed).","Only PR in this batch that targets live paths and is essentially mergeable: sdk/examples/plugins/atr-detector.ts plus two table rows. I verified the plugin matches main's actual API (AgentPlugin from @cline/core, beforeTool({toolCall, input}), {stop|skip, reason} return) by comparing against gitignore-read-files-guard.ts and env-blocker.ts. The author has pinged repeatedly since May and explicitly said closing is fine, so the real cost here is one maintainer decision on whether an outside project's detector belongs in the example set."
10625,https://github.com/cline/cline/pull/10625,fix(chat): handleCopy fallback so failed gRPC doesn't blank the OS clipboard,jungrok5,2026-05-10,2026-05-18,False,main,1,29,5,dirty,legacy-dead-paths,yes,yes,clean,after-changes,medium,needs-author-work,yes,trivial,targets the deleted repo-root webview-ui/; needs retargeting to apps/vscode/webview-ui/src/components/chat/ChatView.tsx,,"Single-function change in a webview React component. No new dependencies, no network calls beyond the existing FileServiceClient.copyToClipboard gRPC, no exec, no path handling. It writes the already-computed selection text to navigator.clipboard, which is a same-origin browser API.","The bug is real and still present on main: apps/vscode/webview-ui/src/components/chat/ChatView.tsx lines 214-222 are byte-identical to the pre-image, calling e.preventDefault() unconditionally so a failed gRPC copy leaves the clipboard empty. The fix tries navigator.clipboard.writeText first and only suppresses the browser default on success. Two things to check on retarget: the gRPC mirror now fires even when navigator.clipboard already succeeded (double write), and preventDefault() is called after an await, which was already true on main but means the guard may be moot. Cheap to accept if someone points the author at the new path."
10629,https://github.com/cline/cline/pull/10629,feat: add API configuration profiles,AnnoyingC,2026-05-10,2026-07-24,False,main,15,819,10,dirty,legacy-dead-paths,yes,no,minor-concerns,no,low,close-obsolete,no,medium,"conflicts with main; proto/, src/, webview-ui/ and both edited workflow files (cline-evals-regression.yml, e2e.yml) were removed in the restructure",,"Two concrete items. (1) StateManager.sanitizeApiConfigurationForProfile copies every PROFILE_API_SECRET_KEY (provider API keys, AWS credentials) into a single JSON blob stored under one secrets key, so every profile's credentials are exposed together with no per-profile revocation and no size cap. (2) The .github/workflows/cline-evals-regression.yml change hoists CLINE_API_KEY from a single step's env up to job-level env, widening the secret's exposure to every step in the job including checkout and dependency install. No new deps, no new endpoints, no exec.","Well-executed for its time (save/load/delete profile RPCs, StateManager persistence, settings UI, unit tests) and CI was mostly green in May, but every path is dead: the workflows it patches no longer exist on main and neither does src/core/storage/StateManager.ts. Same feature area as #10619. If the team still wants profiles, it should be re-specced against sdk/packages/core provider settings rather than rebased."
10632,https://github.com/cline/cline/pull/10632,Fix: add idle timeout watchdog for streaming,water-in-stone,2026-05-10,2026-05-17,False,main,3,388,1,dirty,legacy-dead-paths,yes,unsure,clean,no,medium,close-obsolete,no,medium,conflicts with main; src/core/task/StreamChunkCoordinator.ts and src/core/task/index.ts were deleted in the restructure; Quality Checks and e2e failing,,"Reviewed the full diff: a Promise.race timeout wrapper around iterator.next(), a new error class, and 337 lines of unit tests. No dependencies, no network, no filesystem, no exec. clearTimeout runs in finally so no timer leak.","Adds a per-chunk idle timeout so a half-open TCP connection to an LLM provider surfaces as a retryable error instead of hanging forever (issue #10631). The class it patches is gone, but I could not find any equivalent idle/stall guard in the new stack either: sdk/packages/agents/src/agent-runtime.ts still does a bare `for await (const event of stream)`. Worth closing the PR while keeping #10631 open against the SDK. Two review notes carry over if ported: the falsy `idleTimeoutMs` check silently disables a 0 value, and a fixed 60s ceiling can fire mid-reasoning on extended-thinking models."
10638,https://github.com/cline/cline/pull/10638,chore(deps): bump @opentelemetry/exporter-prometheus from 0.56.0 to 0.217.0,dependabot[bot],2026-05-11,2026-05-11,False,main,2,54,114,dirty,deps,yes,no,clean,no,low,close-obsolete,no,trivial,conflicts with main; root package.json/package-lock.json no longer exist (repo moved to bun.lock) and the dependency now lives in apps/vscode/package.json,,"Dependabot lockfile bump to an upstream OpenTelemetry release with pinned integrity hashes. No postinstall scripts introduced, no new vendors. Only caveat is scope: it drags @opentelemetry/core, resources and sdk-metrics from 1.29.0 to 2.7.1 inside that subtree, which is a major-line jump rather than a patch.","Stale Dependabot PR generated against the pre-restructure root manifest. On main the dependency is declared in apps/vscode/package.json (still ^0.56.0) and resolved through bun.lock, and .github/dependabot.yml only scans /apps/vscode and /apps/vscode/webview-ui with all non-security updates ignored, so this will not regenerate itself. Close it; bump it by hand if the 2.x otel core migration is wanted."
10654,https://github.com/cline/cline/pull/10654,chore(deps): bump rand from 0.9.2 to 0.9.4 in /sdk/apps/examples/desktop-app/src-tauri in the cargo group across 1 directory,dependabot[bot],2026-05-12,2026-05-12,False,main,1,2,2,dirty,deps,yes,no,clean,no,low,close-obsolete,no,trivial,conflicts with main; the lockfile moved from sdk/apps/examples/desktop-app/src-tauri/ to apps/examples/desktop-app/src-tauri/ in the sdk/apps -> apps move (#11200),,"One-package Cargo.lock version + checksum bump. Upstream changelog is a doc-build fix and a feature deprecation, no advisory. Checksum is present and the source registry is unchanged (crates.io).","Trivially correct bump, wrong path. rand is still pinned at 0.9.2 in apps/examples/desktop-app/src-tauri/Cargo.lock, and .github/dependabot.yml has no cargo ecosystem entry at all any more, so the Tauri crate graph is currently unmonitored. Closing this is right, but adding a cargo entry for apps/examples/desktop-app/src-tauri is the actual follow-up."
10655,https://github.com/cline/cline/pull/10655,fix(cli): defer heavy imports to speed startup time,abeatrix,2026-05-12,2026-05-13,False,main,15,92,75,dirty,cli,yes,yes,clean,after-rebase,medium,maintainer-internal,no,medium,"conflicts with main; all files moved from sdk/apps/cli/ to apps/cli/ so this needs a full re-apply, and Test (windows) was failing at last run",,"Reviewed the full 15-file diff: eager static imports converted to dynamic import() and a catalog-loading flag flipped. No new dependencies, no new endpoints. The behavioural flip actually reduces network exposure at startup (loadLatestOnInit/loadPrivateOnAuth false means the bundled catalog is used instead of a remote fetch). One correctness note, not a security one: logCliProcessError becomes async and is awaited inside the uncaughtException handler, so a fatal error now has an extra await before process.exit.","Cline-team CLI cold-start work: lazy-loads the update, telemetry, wizard and hub modules and switches default interactive startup to the bundled model catalog. None of it has landed - apps/cli/src/logging/errors.ts still imports the adapter eagerly, apps/cli/src/main.ts still statically imports autoUpdateOnStartup, and main.ts:1040 still passes loadLatestOnInit: true. Still worth doing, but the sdk/apps -> apps move makes this a re-apply rather than a rebase. abeatrix's call."
10667,https://github.com/cline/cline/pull/10667,feat(cli): use saved provider settings for schedules,abeatrix,2026-05-12,2026-06-03,False,main,8,259,32,dirty,cli,yes,yes,minor-concerns,after-rebase,medium,maintainer-internal,no,small,conflicts with main; the .gitignore hunk removes existing `.secrets` / `*.tsbuildinfo` entries and the bun.lock hunk pins a stale claude-dev version,,"The TypeScript change is clean - a resolver that reads persisted provider settings via ProviderSettingsManager, no new deps, no network, no exec, no secret logging. The concern is the .gitignore hunk: because the branch is based on an older tree it deletes `.secrets`, `.github/act/.secrets` and `*.tsbuildinfo` ignore lines that exist on main today. Merging that as-is would un-ignore local secrets files. Must be dropped during conflict resolution.","Drops the hardcoded `cline` / `openai/gpt-5.3-codex` commander defaults for `cline schedule create` and resolves provider/model from last-used settings instead, with a clear error when an explicit --provider has no saved model. New resolveScheduleModelSelection helper is shared by the command, the import path and the wizard, and it comes with three new tests. Paths are all live under apps/cli/. Cline-team work, so leave it to abeatrix - just make sure the .gitignore regression does not survive the rebase."
10675,https://github.com/cline/cline/pull/10675,fix browser scrolling on multi-agent example,jsimone,2026-05-12,2026-05-12,False,main,1,4,4,dirty,sdk-core,yes,no,clean,no,low,close-obsolete,no,trivial,"conflicts with main; the example moved to apps/examples/multi-agent/ and its markup was rewritten, so the .container / .agents / .agent-card .agent-output selectors this patch edits no longer exist",,"Four CSS declarations inside an inline HTML template string plus an import-order swap. No dependencies, no network, no exec, no data handling.","Makes the multi-agent demo page scroll as one document so the synthesized answer is reachable below the agent grid. Correct fix, but main's apps/examples/multi-agent/src/index.ts now uses .agents-panel / .agents-grid with its own scroll handling and media queries; the class names in the diff are gone. Cline-team author, so a quick close by jsimone."
10714,https://github.com/cline/cline/pull/10714,feat: collect and output agent system prompt and IO log on task completion,az08041,2026-05-13,2026-05-13,False,main,2,114,0,dirty,legacy-dead-paths,yes,no,minor-concerns,no,low,close-obsolete,no,medium,conflicts with main; src/core/task/index.ts and src/core/storage/disk.ts were deleted in the restructure; feature needs to be opt-in before it could ship anywhere,,"No new deps, no network, no exec. The concern is unconditional data-at-rest: writeAgentOutputFiles() runs for every completed task with no setting or opt-in and dumps the full system prompt plus every request/response pair (whole truncated conversation history, tool definitions, assistant content) as pretty-printed JSON into the task directory. Anything the agent read - .env contents, tokens pasted by the user, private source - is duplicated in plaintext, unbounded, forever. Writes are also non-atomic fs.writeFile rather than the atomicWriteFile helper the rest of disk.ts uses.","Adds agent_prompt_info.json and agent_io_log.json to each task directory on completion. It is coherent code and CI was green, but there is no issue behind it, no setting to disable it, and the checkbox marks it a bug fix while it is plainly a new feature. Both target files are gone from main, and the prompt-artifact need is already partly served by the existing writePromptMetadataArtifacts path."
10721,https://github.com/cline/cline/pull/10721,docs(prompts): fix command prompt grammar,oab24413gmai,2026-05-13,2026-05-13,False,main,1,2,2,dirty,legacy-dead-paths,yes,no,clean,no,none,close-obsolete,no,trivial,conflicts with main; src/core/prompts/commands.ts is deleted and neither edited sentence exists anywhere in the tree,,"Two words changed in prompt template strings. No code paths, no deps, no network. The edited text is model-facing instruction copy, and the change does not alter any instruction semantics.",Removes a duplicated 'the' in the new-task prompt and fixes 'what the issue about' in the report-bug prompt. Both strings are gone from main - grepping for 'user\'s input when they indicated' and 'required information is apparent' returns nothing. One of three micro typo PRs from this account in the batch.
10723,https://github.com/cline/cline/pull/10723,docs: capitalize GitHub in security note,oab24413gmai,2026-05-13,2026-05-13,False,main,1,1,1,blocked,docs,yes,yes,clean,yes,low,merge-ready,yes,trivial,none (mergeable_state is `blocked` on approval only; all substantive checks pass),,"One word in CONTRIBUTING.md. The advisory URL is untouched, so the security-reporting path is unchanged. No code, no deps.","The only genuinely merge-ready item in the batch. CONTRIBUTING.md line 10 on main still reads 'Github security tool', so the fix applies cleanly, and Quality Checks / test / e2e all pass. Zero-risk squash-merge whenever someone has a spare click."
10724,https://github.com/cline/cline/pull/10724,docs: capitalize GitHub in report bug copy,oab24413gmai,2026-05-13,2026-05-13,False,main,2,2,2,dirty,legacy-dead-paths,yes,yes,clean,after-changes,low,needs-author-work,no,trivial,conflicts with main; cli/src/components/ChatMessage.tsx is deleted and webview-ui/ moved to apps/vscode/webview-ui/,,"Two UI display strings, capitalization only. No logic, no deps, no network.","Half of this still applies: apps/vscode/webview-ui/src/components/chat/ChatRow.tsx:1120 still says 'Cline wants to create a Github issue:'. The CLI half targets a deleted file. Faster for a maintainer to make the one-character edit directly than to shepherd a rebase, but the observation is correct."
10735,https://github.com/cline/cline/pull/10735,"docs(macm4): add install script, workspace file, and setup guide",martinfr-certifyos,2026-05-13,2026-07-24,False,main,48,2793,11,dirty,mixed,yes,no,dangerous,no,none,close-low-quality,no,trivial,"wrong repository - author states in the body that this is 'macm4 internal tooling, not intended for upstream'",,"Do not merge under any circumstances. (1) It moves 13 upstream workflows - including publish.yml, publish-cli-trusted.yaml, publish-nightly*.yml and npm-main.yaml - into .github/workflows-disabled/, silently killing Cline's release pipeline, and gates the qlty coverage job behind a variable that upstream does not set. (2) scripts/install-cline-macm4.sh downloads gs://cline-repo/cline-macm4/cline-macm4-latest.vsix, force-uninstalls the official saoudrizwan.claude-dev extension from Cursor and VS Code, and installs a third-party publisher's build in its place - shipping that script in this repo is a ready-made supply-chain trap. (3) The new build-vsix.yml packages with `vsce package --allow-package-secrets sendgrid`, explicitly suppressing the packager's SendGrid-key scan on a VSIX distributed to users. (4) It rewrites the top of README.md with CertifyOS-internal onboarding and hardcodes their GCP workload-identity provider and service-account identifiers.","A downstream fork's internal integration branch opened against cline/cline by mistake: 48 files adding a private 'macm4' provider pointed at localhost LiteLLM/Ollama, MacM4 webview widgets, a macOS-only installer, and a company workspace file. Close immediately without review. Worth a quick sanity check that no upstream workflow was affected and, separately, that the `--allow-package-secrets sendgrid` flag is not a sign of a real key in their fork's bundle."
10738,https://github.com/cline/cline/pull/10738,Add NVIDIA NIM origin tracking,nv-kasikritc,2026-05-13,2026-05-14,False,main,32,723,14,dirty,mixed,yes,unsure,minor-concerns,no,medium,needs-author-work,yes,medium,"conflicts with main; cli/, proto/, src/ and webview-ui/ are deleted, and the SDK files it edits were refactored (DEFAULT_REQUEST_HEADERS no longer exists in sdk/packages/shared/src/llms/requests.ts, nvidia moved from builtins.ts into providers.generated.ts)",,"No credentials, no new deps, no exec. The substance is a vendor attribution header: every request whose base-URL host is exactly integrate.api.nvidia.com gets `X-BILLING-INVOKE-ORIGIN: Cline`. Host matching is done with URL().hostname (not substring), it is skipped for private proxies, and a user-supplied header of the same name is preserved - so the blast radius is narrow and correct. Still, it is Cline shipping partner-side request attribution by default, which is a product/privacy decision rather than a code-review one. Also note the helper is duplicated verbatim in two stacks (src/shared/net.ts and sdk/packages/shared/src/llms/requests.ts), so a future host-matching bug would need fixing twice.","Two things bundled together, and only one is still open. First-class NVIDIA NIM provider support has already landed - `nvidia` is present in sdk/packages/llms/src/providers/providers.generated.ts. The billing-origin header has not: grepping main for BILLING-INVOKE-ORIGIN returns nothing. Worth a maintainer reply to the NVIDIA author saying yes/no on the attribution header and, if yes, asking for a small SDK-only PR against sdk/packages/llms instead of this 32-file cross-stack version."
10753,https://github.com/cline/cline/pull/10753,feat(hooks): add PostAssistantTurn hook,ABindoff,2026-05-14,2026-05-21,False,main,8,475,0,dirty,legacy-dead-paths,yes,unsure,minor-concerns,no,medium,needs-author-work,yes,medium,"conflicts with main; proto/cline/hooks.proto, src/core/hooks/ and src/core/task/index.ts were deleted, and the JetBrains companion plugin update it depends on never happened; vscode test failing",,"No new deps, no network. It adds a new point at which user-authored shell scripts are invoked, and feeds them raw model output (assistantText). Data reaches the script as JSON on stdin rather than argv, and the bash template quotes ""$INPUT"" and pipes to jq, so there is no direct injection; risk is the same shape as the existing PostToolUse/TaskComplete hooks. It is correctly gated on hooksEnabled and declared observation-only (cancel and contextModification ignored). The incremental exposure is that a full assistant turn's text now reaches user hooks on every turn, which is a new egress surface for anyone with a hook installed.","The gap is real and still open: main's hook set in sdk/packages/core/src/hooks is PreToolUse, PostToolUse, TaskComplete, UserPromptSubmit and PreCompact, with nothing that fires once per complete assistant turn. The implementation here is thorough (proto message, factory entry, bash template, 3 fixtures, a 370-line test) but written against the deleted src/core/hooks tree, so it needs re-implementation. Author has been responsive and diagnosed a pre-existing telemetry-proxy test issue correctly. Worth a short maintainer answer on whether the hook concept is wanted before asking for a rewrite."
10757,https://github.com/cline/cline/pull/10757,fix: respect otel resource attributes,greg-asher,2026-05-14,2026-05-14,False,main,8,91,9,dirty,legacy-dead-paths,yes,yes,clean,after-changes,medium,needs-author-work,yes,small,"conflicts with main; every file moved wholesale into apps/vscode/ (apps/vscode/src/shared/services/config/otel-config.ts, apps/vscode/src/services/telemetry/providers/opentelemetry/OpenTelemetryClientProvider.ts, apps/vscode/esbuild.mjs)",,"No new dependencies, no new endpoints - it only populates attributes on the OTel Resource for an exporter the operator already configured. Crucially it applies config.resourceAttributes first and then overwrites ATTR_SERVICE_NAME/ATTR_SERVICE_VERSION, so a user attribute cannot spoof Cline's service identity, and there is a unit test asserting exactly that. Attribute values are operator-supplied via CLINE_OTEL_RESOURCE_ATTRIBUTES and could contain PII (the docs example is username=john), but that is the operator's deliberate choice in an enterprise-monitoring feature.","Best community bug fix in the batch. The defect is still live: apps/vscode/src/services/telemetry/providers/opentelemetry/OpenTelemetryClientProvider.ts lines 59-62 still build the Resource with only service.name and service.version, and neither `resourceAttributes` nor CLINE_OTEL_RESOURCE_ATTRIBUTES appears anywhere on main. Fixes enterprise issue #8586, wires both the runtime and esbuild-injected build-time variables, updates .env.example and the enterprise docs page, and adds two focused tests. A pure path move from src/ to apps/vscode/src/ should be enough to land it."
10778,https://github.com/cline/cline/pull/10778,fix(deps): align isbinaryfile declared floor with lockfile (^5.0.7),f14XuanLv,2026-05-15,2026-06-13,False,main,2,2,2,dirty,deps,yes,yes,clean,after-changes,medium,needs-author-work,yes,trivial,"conflicts with main; apps/vscode/package-lock.json does not exist (the repo resolves through bun.lock), so that half of the diff has to be dropped and bun.lock regenerated instead",,"Raises a declared SemVer floor, which is strictly a hardening move - it prevents a future lockfile regeneration from resolving back to the crashing 5.0.2/5.0.4. No new packages, no version downgrades, no scripts. Socket Security checks pass.","The package.json half is still correct and still needed: apps/vscode/package.json:522 declares ^5.0.2 while bun.lock:3720 already resolves isbinaryfile@5.0.7, so a lockfile regeneration could silently land on a version that throws RangeError: Invalid array length on UTF-8 files at the 512-byte boundary. All CI is green. Someone just needs to tell the author to drop the package-lock.json hunk and update bun.lock, or make the two-line change directly."
10794,https://github.com/cline/cline/pull/10794,ci: scope release git tags by product,saoudrizwan,2026-05-15,2026-07-24,False,main,11,204,90,dirty,infra-ci,yes,yes,clean,after-rebase,medium,maintainer-internal,no,medium,conflicts with main; the CLI skill and DISTRIBUTION.md moved out of sdk/apps/cli/ (the skill now lives at .claude/skills/publish-cli/SKILL.md); Test (windows) failing,,"Reviewed all 11 files. Tag-format validation is tightened rather than loosened (each workflow greps the tag against an anchored per-product regex before using it). The one credential-touching line, `git push ""https://x-access-token:${GH_TOKEN}@github.com/${GITHUB_REPOSITORY}.git""`, is the standard Actions pattern with the token supplied from the job env, not hardcoded. No new deps, no permission escalation in the workflow `permissions:` blocks.","Owner's own release-engineering change: moves VS Code, CLI and SDK publishes onto product-scoped tags (vX.Y.Z-vscode, vX.Y.Z-cli, vX.Y.Z-sdk-*) so changelog generation cannot pick up another product's tag as its baseline, with migration-safe previous-tag fallbacks. Not landed - .github/workflows/cli-publish.yml on main still validates and describes against cli-v*. Only outstanding review point is the Greptile note that `git describe` in the publish-cli skill exits 128 when no matching tag exists. saoudrizwan's to drive."
10813,https://github.com/cline/cline/pull/10813,fix(sdk): cache remote config outside workspaces,cline-cloud[bot],2026-05-16,2026-06-02,False,main,7,196,4,dirty,sdk-core,yes,yes,clean,after-rebase,high,maintainer-internal,yes,small,"conflicts with main; root .vscodeignore no longer exists (it is apps/vscode/.vscodeignore) and the .gitignore hunk is now partly redundant since .cline/data, .cline/tmp and .cline/enterprise are already ignored",,"This is itself a security fix and I found nothing objectionable in how it is done. Bundle caches move from workspace-local .cline/<plugin>/cache/bundle.json to ~/.cline/data/remote-config/<plugin>/<sha256-of-workspace-path>/bundle.json; the workspace path is hashed rather than interpolated, and the plugin-name segment is sanitized with /[^a-zA-Z0-9._-]+/, so there is no path-traversal surface in the new key derivation. MigratingRemoteConfigBundleStore copies the legacy bundle forward and then clears the old file, so credentials do not linger in the workspace. No new deps, no network changes.","Cline's own automation (CLINE-2210), but flagging it because it is an unlanded security hardening fix sitting since mid-May: sdk/packages/shared/src/remote-config/paths.ts:17 on main still writes bundleCachePath into the workspace's .cline/<plugin>/cache/bundle.json, and remote-config bundles can carry prompt-upload credentials. All the SDK source files still exist at the same paths, so only the two ignore-file hunks need reworking. Worth prioritising over the other maintainer-internal items in this batch."
10822,https://github.com/cline/cline/pull/10822,fix(cli): clean up connector plugin command sandboxes,saoudrizwan,2026-05-16,2026-05-16,False,main,8,104,30,dirty,cli,yes,yes,clean,after-rebase,medium,maintainer-internal,no,small,conflicts with main; files moved from sdk/apps/cli/ to apps/cli/ in the sdk/apps -> apps move,,"Reviewed all 8 files. It makes an already-returned shutdown callback non-optional and calls it from each connector's existing cleanup path, so it strictly reduces resource lifetime (leaked plugin sandbox child processes). No new deps, no network, no credential handling, no change to what the sandbox is allowed to do.","Follow-up to #10819: sandbox-backed plugin slash commands need the sandbox process alive until the host is torn down, and the six long-lived connectors (Slack, Discord, Google Chat, Linear, Telegram, WhatsApp) were dropping the shutdown callback. Not landed - apps/cli/src/utils/plugin-chat-commands.ts:24 still declares `shutdown?:` optional and apps/cli/src/connectors/adapters/slack.ts:771 still destructures only `{ host }`, so the leak is live. CI green when it ran. Owner's own PR; just needs a re-apply onto the new paths."
10832,https://github.com/cline/cline/pull/10832,Add optional LM Studio API key support,shadow88sky,2026-05-17,2026-05-26,False,main,12,136,13,dirty,vscode-new,yes,yes,clean,after-changes,medium,needs-author-work,no,medium,conflicts with main; one edited file (apps/vscode/src/core/api/providers/lmstudio.ts) no longer exists on main,,"Checked the whole diff: no new dependencies, no new endpoints. The key is stored via the existing secrets path (added to SECRETS_KEYS and ProviderToApiKeyMap, so it lands in secret storage, not plaintext settings) and is only sent as `Authorization: Bearer` to the user's own configured LM Studio base URL in getLmStudioModels.ts, or as `apiKey` to createOpenAIClient. The header is omitted entirely when the key is empty. No shell exec, no path handling, no auth/approval weakening.","Threads an optional lmStudioApiKey through proto, secret storage, proto-conversion, the LM Studio handler and the settings webview, and switches getLmStudioModels from StringRequest to OpenAiModelsRequest so discovery can send a bearer token. The feature is genuinely missing on main (getLmStudioModels.ts still does a bare fetch with no auth), and the author already rebased once and got a fully green CI run, but main has since deleted apps/vscode/src/core/api/providers/ entirely — chat completions now go through @cline/llms — so the handler half of this PR has to be re-targeted before it can land."
10842,https://github.com/cline/cline/pull/10842,docs: Add FuturMix provider setup guide,FuturMix,2026-05-18,2026-05-18,False,main,2,1150,680,dirty,docs,partly,no,minor-concerns,no,low,close-low-quality,no,trivial,conflicts with main; fork is ~800 commits behind; reformats all of docs.json,,"Docs-only, no code or dependencies. The concern is content, not execution: it instructs users to send their prompts and an API key to a third-party gateway (https://futurmix.ai/v1) that the Cline team has not vetted, and it lists model names (Claude Opus 4.6, GPT-5.4) that Greptile flagged as not matching any real provider model IDs, so the page would mislead users into misconfiguration.","Vendor self-promotion: adds a FuturMix provider page and a nav entry, but the diff is 1150/680 lines across 2 files because it rewrites docs/docs.json from tabs to 2-space indentation for what should be a one-line nav addition. main has actively trimmed docs/provider-config/ down to first-party-supported providers (aihubmix, together and friends are gone), so a new third-party gateway page runs against the current direction."
10873,https://github.com/cline/cline/pull/10873,sdk: add security review bot example,reneehuang1,2026-05-18,2026-05-19,False,main,7,559,4,dirty,sdk-core,yes,yes,minor-concerns,after-rebase,medium,maintainer-internal,no,medium,conflicts with main; sdk/apps/examples/ was moved to apps/examples/,,"The example feeds an untrusted `git diff` verbatim into the agent prompt and then sets `toolPolicies: { ""*"": { autoApprove: true } }` with `enableTools: true`. The current revision does explicitly disable the dangerous builtins (run_commands, editor, apply_patch, fetch_web_content, skills all `enabled: false`), so the residual blast radius is read-only (read_files, search_codebase), but the blanket wildcard auto-approve is fragile — any future builtin tool is auto-approved by default. Git invocations use execFileSync with argv arrays, not a shell, so no command injection. No new third-party deps beyond zod (workspace-pinned).","Cline team member's PR adding a ClineCore-based security review bot example plus a small Rust refactor of the menubar sidecar path resolution. Not on main (apps/examples/security-review-bot does not exist) and stale since May with the example tree having moved out of sdk/apps/, so it needs a rebase; the team owns it."
10885,https://github.com/cline/cline/pull/10885,nits: fix example readmes,reneehuang1,2026-05-19,2026-05-19,True,main,5,5,5,dirty,docs,yes,yes,clean,after-rebase,low,maintainer-internal,no,trivial,draft; conflicts with main (sdk/apps/examples/ moved to apps/examples/),,"Five README lines changing the illustrative API-key prefix from `cline_...` to `sk_...`. No code, no dependencies, no network calls, no real credentials in the diff.","Team member's draft correcting the example API-key placeholder in five example READMEs. The nit is still valid — main's apps/examples READMEs still say `cline_...` while cline-core-cli-agent already says `sk_...` — but it is a draft from a Cline engineer against moved paths, so it is theirs to rebase or drop."
10886,https://github.com/cline/cline/pull/10886,docs: add QuickSilver Pro to OpenAI Compatible provider examples,raullenchai,2026-05-19,2026-05-19,False,main,1,13,0,blocked,docs,yes,no,minor-concerns,no,low,close-low-quality,no,trivial,mergeable_state blocked; policy question about hosting vendor self-promotion in official docs,,"Docs-only; no code, deps, or scripts. The content directs users to paste an API key and route all prompts to https://api.quicksilverpro.io/v1, a third-party gateway submitted by its own operator (disclosed in the PR body). Nothing verifiable about the service's data handling; the listed model IDs cannot be validated from the diff.","Thirteen-line advertisement for the author's own gateway appended to docs/provider-config/openai-compatible.mdx, mirroring the existing v0 section. Since main has been pruning docs/provider-config/ down to providers Cline actually supports first-party, accepting this opens the door to an unbounded queue of identical vendor PRs (see also 10842, 10939, 10988 in this same batch)."
10887,https://github.com/cline/cline/pull/10887,fix(cli): handle Cline account auth error code,saoudrizwan,2026-05-19,2026-05-19,True,main,12,143,23,dirty,mixed,yes,yes,clean,after-rebase,medium,maintainer-internal,no,medium,draft; conflicts with main (sdk/apps/cli moved to apps/cli),,"Reviewed the full diff: introduces a typed `SDK_ERROR_CODES.ClineAccountAuthRequired` constant and propagates an `errorCode` field on agent error events. No credentials in the diff, no new network calls, no new dependencies, no shell exec, no change to tool approval or auth verification — it only replaces brittle error-string matching with a code, which is if anything safer.","Cline founder's draft replacing string-matched Cline re-authentication errors with a typed SDK error code the TUI can key off to show an `/account` prompt. Not on main (`ClineAccountAuthRequired` appears nowhere in the tree) and untouched since May while sdk/apps/cli moved to apps/cli, so it is stale in-flight team work."
10920,https://github.com/cline/cline/pull/10920,fix: update SDK examples package to core and agents,abeatrix,2026-05-20,2026-05-20,True,main,11,59,51,dirty,sdk-core,partly,yes,minor-concerns,after-changes,medium,maintainer-internal,no,medium,"draft; conflicts with main; code-review-bot still imports @cline/sdk after its package.json was switched to @cline/core, so the example will not build",,"The cli-agent example's `shell` tool switches from Bun.spawn to `spawn(""sh"", [""-c"", input.command])`. That is still model-controlled input executed through a shell, but it is pre-existing example behaviour (the tool already ran arbitrary commands via Bun.spawn with `sh -c`), so the PR does not widen the surface. No new third-party dependencies beyond @types/node; no credentials; no network changes.",Team member's draft migrating the SDK examples off the deprecated @cline/sdk package onto @cline/core / @cline/agents and switching builds to `bun build`. The migration is still needed — apps/examples/cli-agent and code-review-bot on main both still import @cline/sdk — but the PR as written is broken (code-review-bot's import was never updated) and targets the pre-move sdk/apps/examples paths.
10935,https://github.com/cline/cline/pull/10935,fix(core): preserve Cline oauth when switching providers,saoudrizwan,2026-05-20,2026-05-20,True,main,2,107,2,blocked,sdk-core,yes,yes,clean,after-rebase,high,maintainer-internal,no,small,draft; mergeable_state blocked,,"Touches OAuth credential storage, so I read it closely. It only ever carries forward or merges over the previously stored `auth` block for managed OAuth providers; it never logs, transmits, or widens access to tokens, and explicit disable/delete paths still remove the entry. No new deps, no network calls. If anything it reduces a credential-loss failure mode.","Fixes partial provider-settings saves (model or reasoning changes) silently dropping the stored Cline OAuth `auth` block, which surfaced as spurious sign-outs. The fix is not on main — `ProviderSettingsManager.saveProviderSettings` still replaces settings wholesale, and main has only added `authDropped` debug logging around it — so the underlying bug plausibly still exists. Founder's draft; the team should either land it or close it."
