number,url,title,created,updated,author,labels,area,kind,verdict,relevant_to_main,severity,human_attention,duplicate_of,cluster,evidence,notes
10504,https://github.com/cline/cline/issues/10504,Terminal freezes if you list MCP servers after cancelling an add server operation,2026-05-01,2026-07-05,vitor200450,stale|CLI|beta,cli,bug,needs-info,unsure,low,no,,,"Filed against CLI 0.0.7 (now 3.0.46). The current wizard at `apps/cli/src/wizards/mcp/index.ts` guards every prompt with `p.isCancel(...)` and returns cleanly (lines 126, 136, 176, 197, 210, 246, 269, 332, 373, 405, 492), and the menu loop at line 459/464 re-renders 'List servers'/'Add server' after a cancel. I could not find a code path that would leave the TTY in raw mode.",Another user failed to reproduce on Windows 11 and saoudrizwan asked for a retest on the latest build with no reply for two months — safely closeable.
10506,https://github.com/cline/cline/issues/10506,"clite resume fails with ""Hub connection closed"" and ""Invalid input"" — total workspace state loss",2026-05-01,2026-07-19,omkardharmesh,stale|CLI|beta,cli,bug,invalid-bogus,no,medium,yes,,hub-session-loss,"There is no `resume` subcommand on main: `apps/cli/src/commands/program.ts` registers only a `[prompt]` positional plus `--id <session-id>` for resuming, and the only `resume` command is `schedule resume` (`apps/cli/src/commands/schedule/handlers.ts:291`). Because `createProgram()` uses `.allowExcessArguments()` with a bare `[prompt]` argument and `commanderToParsedArgs` sets `defaultToolAutoApprove: true`, `clite resume` starts a one-shot auto-approved agent run with the literal prompt ""resume"" — which matches the maintainer's reply on the thread.","User error on the reported symptom, but the underlying footgun is real and worth a maintainer decision: an unrecognized subcommand silently becomes an auto-approved agent prompt (program.ts `defaultToolAutoApprove: true`), which is a plausible mechanism for the reporter's untracked-file loss."
10509,https://github.com/cline/cline/issues/10509,Right click paste doesn't work in 'clite' cli,2026-05-02,2026-06-13,dmh2000,CLI|beta,cli,bug,duplicate,yes,low,no,11531,tui-mouse-capture,"`apps/cli/src/tui/index.tsx:15` creates the OpenTUI renderer with `enableMouseMovement: true` (same in `apps/cli/src/tui/history-standalone.tsx:16` and `apps/cli/src/commands/auth.ts:338`). With terminal mouse reporting enabled the emulator hands right-clicks to the app instead of showing its own context menu. `apps/cli/src/tui/opentui-env.ts` explicitly documents that mouse movement must stay on for the home-screen robot animation, and there is no flag or config to turn it off.","Agent-fixable: add a `--no-mouse` / config toggle, or drop `enableMouseMovement` outside the onboarding/home robot view. Owner: `apps/cli` (OpenTUI layer)."
10510,https://github.com/cline/cline/issues/10510,The input box bounce issue in the settings.,2026-05-02,2026-07-02,TuvokYang,stale|VS Code,vscode-new,bug,confirmed-by-code,yes,low,no,,settings-input-eats-characters,"`apps/vscode/webview-ui/src/components/settings/utils/useDebouncedInput.ts` still calls `setLocalValue(initialValue)` whenever the prop changes, so a 100 ms debounced save that round-trips through extension state overwrites keystrokes typed in the meantime — that is the bounce, and `DebouncedTextField.tsx` and `BaseUrlField.tsx` both use it. The reporter's exact repro (API key field) was fixed separately in `b193a81ac` (""prevent API key field clearing on settings load"", #11925), which gave `ApiKeyField.tsx` its own focus/`hasPendingUserEditRef` guard instead of the shared hook.",Agent-fixable: port the `isFocusedRef`/`hasPendingUserEditRef` guard from `ApiKeyField.tsx` into `useDebouncedInput.ts` so every settings text field benefits.
10513,https://github.com/cline/cline/issues/10513,Agent can't reliably use the search_codebase tool,2026-05-02,2026-07-05,ibrhr,stale|CLI|beta,sdk-agents,bug,already-fixed,no,medium,no,,,"The error text comes from `parseToolInput`/`parseToolArguments` in `sdk/packages/agents/src/agent-runtime.ts:1726,1771`, which falls back to `input: {}` — matching the `search_codebase({})` in the screenshot. Since then `a1d69fee6` (2026-07-03) wired `experimental_repairToolCall: repairMalformedToolCall` into the shared `streamText` call (`sdk/packages/llms/src/providers/ai-sdk.ts:1218`, repair impl at :423) backed by the jsonrepair strategies in `sdk/packages/shared/src/parse/json.ts`, and `96b29d787` added `normalizeJsonLikeStringsForSchema` (`agent-runtime.ts:1366`).","Repair happens before the agent runtime sees the call, because `ai-sdk.ts` only emits `tool-call-delta` on the final `tool-call` part (lines 951-976), not per streaming delta."
10514,https://github.com/cline/cline/issues/10514,Clite not run on WSL on Intel Sandy Bridge Processor (AVX 2 lack),2026-05-02,2026-05-24,antoniodiego,CLI|beta,cli,bug,confirmed-by-code,yes,high,yes,,cli-bun-binary-crash,"`apps/cli/script/build.ts` builds only `bun-{linux,darwin,windows}-{x64,arm64}` targets (`allTargets` + `getBunTarget()`); there is no `bun-linux-x64-baseline` variant, and `apps/cli/script/publish-npm.ts:39` publishes only `@cline/cli-linux-x64` and friends. Bun's default x64 compile target requires AVX2, so pre-Haswell CPUs get ""Illegal instruction (core dumped)"" exactly as reported.","Needs a release-matrix decision: add `-baseline` targets to `allTargets`/`getBunTarget()` and publish `@cline/cli-linux-x64-baseline` (plus win32) with an install-time CPU check, or document the limitation. Two independent reporters (Sandy Bridge i5-2500, Ivy Bridge i7-3770)."
10515,https://github.com/cline/cline/issues/10515,Tool Proposal: CAJAL Scientific Paper Generator for Cline,2026-05-02,2026-07-02,Agnuxo1,stale,unknown,feature-request,out-of-scope,no,low,no,,,"No CAJAL reference exists anywhere in the tree (`rg CAJAL` over /workspace returns nothing). The proposal is for a third-party Ollama-backed paper generator that the author says would ship as an MCP server, and Cline already loads arbitrary third-party MCP servers via `sdk/packages/core/src/extensions/mcp/{config-loader,manager,client}.ts` — no change to this repo is needed for it to work.",Effectively a promo for an external project; safely closeable with a pointer to the MCP marketplace/server docs.
10516,https://github.com/cline/cline/issues/10516,explain changes is now triggering by itself,2026-05-02,2026-07-02,fersarr,stale|VS Code,vscode-new,bug,already-fixed,no,low,no,,,"The feature was deleted from main: `9c030a93b Remove Explain Changes feature (#11278)` (2026-06-04), recorded in `CHANGELOG.md:30` as ""Remove the legacy Explain Changes feature as part of the SDK migration cleanup"". `rg -i 'explainChanges|Explain Changes'` on main matches only CHANGELOG history; the only surviving explain surface is the manual `cline.explainCode` code action (`apps/vscode/src/core/controller/commands/explainWithCline.ts`, `apps/vscode/src/registry.ts:23`).",Auto-closeable: the token-wasting auto-explain the reporter wanted disabled no longer exists in 4.0.
10519,https://github.com/cline/cline/issues/10519,Cline compact and context problem. Help me please.,2026-05-03,2026-07-02,huwaietelefon81-a11y,stale|VS Code,vscode-new,question-support,duplicate,unsure,low,no,10637,compaction-runs-while-disabled,"Reported against the legacy 3.x marketplace build; the 3.x `ContextManager` the numbers came from does not exist on main. Context handling now lives in `sdk/packages/core/src/extensions/context/{compaction.ts,basic-compaction.ts,agentic-compaction.ts,compaction-shared.ts}` with `DEFAULT_MAX_INPUT_TOKENS = 128_000` (`compaction-shared.ts:13`), and the report gives no logs, provider config, or model context window to map onto that code.",Reads as a support question about how the context-usage bar counts the system prompt and how compaction interacts with an OpenAI-compatible DeepSeek endpoint; ask the reporter to retest on 4.0.
10520,https://github.com/cline/cline/issues/10520,Cline Kanban MiniMax provider config not synced across state/secrets; stale provider causes invalid API key errors,2026-05-03,2026-06-12,jgwhite0111,,cli,bug,already-fixed,no,medium,yes,,,"The three-way split the reporter documented is gone on main: `providers.json` is now the single source of truth (`apps/vscode/src/extension.ts:521`, `sdk/packages/core/src/services/storage/provider-settings-manager.ts:54`), and `globalState.json`/`secrets.json` are read only once by `resolveLegacyStorage()` in `sdk/packages/core/src/services/storage/provider-settings-legacy-migration.ts:268-269`. Nothing in `apps/cli` or `sdk/packages/core` writes `planModeApiProvider` anymore (`rg planModeApiProvider` hits only the VS Code webview shape). Kanban itself is an external npm package that `apps/cli/src/commands/kanban.ts:37` installs and spawns.","Four users reported the same thing. The state-split half is architecturally fixed on main; the ""long-running Kanban agent keeps a stale key until restarted"" half lives in the separate `kanban` package, so a maintainer should confirm and route/close rather than an agent guessing."
10522,https://github.com/cline/cline/issues/10522,Disabling native tool use still triggers shell commands in native terminal,2026-05-03,2026-07-03,vikramjitSingh,stale|VS Code,vscode-new,bug,legacy-only,no,low,no,,,"The setting the report depends on no longer exists: `native_tool_call_enabled` is listed in the `reserved` clause of `apps/vscode/proto/cline/state.proto:398`, and `rg nativeToolCall` finds no runtime code on main. Shell execution now goes through the SDK path in `apps/vscode/src/sdk/vscode-run-commands-tool.ts` gated by `vscodeTerminalExecutionMode`, not by a native-tool-calling toggle.","Report is also internally garbled — it describes ""Codex settings"" and `config.toml`, which are OpenAI Codex CLI concepts, not Cline settings."
10523,https://github.com/cline/cline/issues/10523,"""invalid_arguments"" / unterminated string",2026-05-03,2026-07-03,VanityMan,stale|VS Code|beta,sdk-agents,bug,already-fixed,unsure,medium,no,,,"The pasted log is unmistakably the new SDK shape: `metadata.invalidToolCalls[].input.rawInputText` is produced by `buildInvalidToolInput()` and `reason: ""invalid_arguments""` by `parseToolInput()` in `sdk/packages/agents/src/agent-runtime.ts:1704-1732`, with `input: {}` substituted on parse failure. Since the report, `a1d69fee6` added jsonrepair-backed `repairMalformedToolCall` (`sdk/packages/llms/src/providers/ai-sdk.ts:423,1218`) and `ef27f4508` (""fix: max output token handling"") addressed the truncation source; the raw text cutting off at position 12518 mid-string is consistent with hitting the output cap.","Latent related defect worth noting to whoever touches this next: `mergeToolInputText()` (`agent-runtime.ts:1775`) discards the accumulated buffer whenever an incoming delta starts with `{` or `[`, which can corrupt streamed args for providers that chunk mid-object."
10532,https://github.com/cline/cline/issues/10532,OpenSpec workflows do not appear,2026-05-03,2026-07-03,czarcone123,stale|VS Code,vscode-new,bug,confirmed-by-code,yes,medium,no,,,"`apps/vscode/src/core/controller/slash/getAvailableSlashCommands.ts:25-26` builds the custom slash-command list purely from the persisted `workflowToggles`/`globalWorkflowToggles` state keys. The only thing that scans `.clinerules/workflows/` and populates those keys is `refreshRules` (`apps/vscode/src/core/controller/file/refreshRules.ts:24` → `refreshWorkflowToggles`), and it is invoked only from `ClineRulesToggleModal.tsx` inside a `useEffect` gated on `isVisible`, plus `createRuleFile.ts:55`. Nothing calls it during activation or controller init, so workflows stay invisible until the panel is opened once — exactly the reported sequence.",Agent-fixable: call `refreshWorkflowToggles`/`refreshClineRulesToggles` on webview init (or have `getAvailableSlashCommands` refresh on demand) instead of relying on the modal.
10533,https://github.com/cline/cline/issues/10533,"Claude incorrectly recommended removing Prisma multiSchema   @@schema directives, causing ""public.tenants does not exist"" error and unnecessary token consumption",2026-05-04,2026-07-03,rjalencar,stale|VS Code,unknown,question-support,invalid-bogus,no,low,no,,,"Nothing in Cline's code produced the bad advice. The system prompt in `sdk/packages/shared/src/prompt/system.ts` contains no Prisma or ORM-specific guidance, and no tool in `sdk/packages/core/src/extensions/tools/executors/` touches `schema.prisma`. This is a report about the model's domain knowledge (anthropic/claude-sonnet-4.6), not about a defect in this repo.",Safely auto-closeable as a model-quality complaint.
10534,https://github.com/cline/cline/issues/10534,3.83.0 and 3.82.0 tool calls fail with Deepseek v4-flash (Thinking),2026-05-04,2026-05-16,required-field,VS Code,vscode-new,bug,legacy-only,no,medium,no,,,"The reported string ""Cline tried to use search_files without value for required parameter"" survives on main only as an evals fixture (`evals/analysis/src/__tests__/classifier.test.ts:22`); the legacy XML tool-parsing loop that emitted it lived at repo-root `src/core/task/` and no longer exists. Main routes tool calls through AI SDK native tool calling with `repairMalformedToolCall` (`sdk/packages/llms/src/providers/ai-sdk.ts:423`) and schema-aware normalization (`sdk/packages/agents/src/agent-runtime.ts:1366`).",Same class as #10513/#10523; the specific 3.81→3.82 regression is in retired code.
10536,https://github.com/cline/cline/issues/10536,Unable to fetch models from SAP AI Core service instance,2026-05-04,2026-07-04,satya01-sap,stale|VS Code,sdk-llms,bug,needs-info,unsure,medium,no,,sap-ai-core,"The message still exists on main at `apps/vscode/webview-ui/src/components/settings/providers/SapAiCoreProvider.tsx:235`, but the provider behind it was rebuilt after the report: `33e521e55` (2026-05-27, SAP AI Core moved to the AI SDK community provider), `8da5ffa87`/`b56ce72fc`/`9a1e6121c` (2026-06-23 wiring + config alignment), `352a23a6d` (2026-06-25, ""stabilize SAP AI Core provider setup""), `5a0780a6f` (2026-07-23, metering header + fetch adapter). The report has empty repro steps, no service-key details and no logs, so it cannot be mapped onto the current handler.",Ask the reporter to retest on the 4.0 SDK extension and attach the deployment/resource-group config and output channel logs.
10537,https://github.com/cline/cline/issues/10537,"Cline v3.82.0 hangs indefinitely at ""Thinking..."" after executing terminal commands",2026-05-04,2026-07-23,kunmykaito,VS Code,vscode-new,bug,duplicate,no,high,no,12079,terminal-skipped-hang,"The workaround the thread converged on is now the default: `apps/vscode/src/shared/storage/state-keys.ts:78-83` sets `vscodeTerminalExecutionMode` default to `""backgroundExec""` (""Default to background execution to match the CLI's behavior""), so commands no longer depend on VS Code shell integration completion events. The shell-integration path itself was rewritten in `12703bf40` (2026-07-15) with a chunk-safe OSC 633 parser, idle read timeouts, and a fast-fail when `terminal.exitStatus` is already set (`apps/vscode/src/hosts/vscode/terminal/VscodeTerminalProcess.ts:69-76`).","A commenter flagged this as a duplicate of the still-open umbrella issue #9143 (""The command's output could not be captured""). Root cause is addressed on main, but a maintainer should decide how to consolidate/close that whole cluster."
10544,https://github.com/cline/cline/issues/10544,Moonshot Kimi K2.6 fails via OpenAI Compatible because Cline sends unsupported temperature,2026-05-04,2026-07-17,herman-aukera,VS Code,sdk-llms,bug,already-fixed,no,medium,no,,,"On main nothing hardcodes a sampling temperature into a request: `rg 'temperature: [0-9]'` across sdk/ and apps/ matches only `apps/vscode/src/shared/api.ts:184` (`openAiModelInfoSafeDefaults`, a webview display fallback consumed by `useProviderModelSelection`/`OpenAICompatible.tsx`, not the request path). The request path is `sdk/packages/llms/src/providers/ai-sdk.ts:64` (`temperature: request.temperature`) fed from `gateway.ts:103` and `sdk/packages/core/src/services/llms/handler-factory.ts:199,255`, all of which stay `undefined` unless configured. If a value is needed, the OpenAI-Compatible settings now expose a persisted per-model temperature override (`apps/vscode/webview-ui/src/components/settings/providers/OpenAICompatible.tsx:585`, `apps/vscode/src/shared/proto-conversions/models/modelOverrides.ts:35`).","The reporter's alternate ask (per-model capability metadata like `supportsCustomTemperature`) is partly there — `catalog-live.ts:197` records a `temperature` capability — but `compat.ts:75` maps it to plain `text`, so it is not currently used to gate anything."
10548,https://github.com/cline/cline/issues/10548,Mixed languages,2026-05-05,2026-07-12,edwardyoon,stale|VS Code,unknown,question-support,invalid-bogus,no,low,no,,,"No provider or model is given, and the pasted transcript ends with the retired mistake-limit blurb (""...recommended to use Claude 4.5 Sonnet for its advanced agentic coding capabilities""), which no longer exists on main — the message is now provider-neutral at `apps/vscode/src/sdk/sdk-interaction-coordinator.ts:76` (""Cline ran into N errors in a row and stopped the task"") after `e4091c3686`. The garbled Chinese/Korean/pseudo-XML output is a local-model quality symptom, not a Cline code path.","Reporter answered ""don't know"" for repro steps and left provider/model blank."
10549,https://github.com/cline/cline/issues/10549,'run_commands' tool silently times out at 30s with misleading error — causes agent confusion and wasted tokens on long-running tasks,2026-05-05,2026-07-10,paviko,CLI|beta,sdk-core,bug,confirmed-by-code,yes,medium,yes,,terminal-skipped-hang,"Still exactly as described on main. `sdk/packages/core/src/extensions/tools/definitions.ts:460` uses `config.bashTimeoutMs ?? 30000`, and `executeShellCommands` (same file, ~lines 190-225) converts a `TimeoutError` into `{ result: """", error: ""Command failed: Command timed out after 30000ms"", success: false }` — no partial stdout/stderr, no signal that the wait (not the process) ended, and the process tree is SIGKILLed by `killProcessTree()` in `sdk/packages/core/src/extensions/tools/executors/bash.ts:159-186`. `bashTimeoutMs` is only ever set by the VS Code host (`apps/vscode/src/sdk/vscode-runtime-builder.ts:163`); the CLI exposes no way to raise it.","Needs a product decision on the tool's error contract: distinguish ""tool stopped waiting"" from ""command failed"", return partial output on timeout, and expose a per-call or per-config timeout. Telemetry for this was already added (`captureRunCommandsTimeout`, definitions.ts:88) but the user-visible behavior was not changed."
10551,https://github.com/cline/cline/issues/10551,"OpenAI-compatible DeepSeek V4 Pro: configured 1M context capped at 128K, tool parsing/mistake-limit issues",2026-05-05,2026-07-20,Pleusch,,sdk-core,bug,confirmed-by-code,yes,medium,yes,,openai-compat-context-window-ignored,"Complaint 1 is visible in code: `resolveLegacyCustomProviderRegistration` in `sdk/packages/core/src/services/storage/provider-settings-legacy-migration.ts:657-665` writes `contextWindow`/`maxInputTokens = LEGACY_OPENAI_COMPATIBLE_CONTEXT_WINDOW (128_000)` for every migrated OpenAI-Compatible model, ignoring the window the user had configured in 3.x, and `sdk/packages/llms/src/providers/builtins.ts:416` applies the same 128k fallback to openai-compatible models with no catalog entry. Complaints 2 and 3 are addressed: jsonrepair tool-call repair landed in `a1d69fee6` (`ai-sdk.ts:423,1218`) and the mistake-limit text is now provider-neutral (`apps/vscode/src/sdk/sdk-interaction-coordinator.ts:76`, `e4091c3686`).","Both PRs referenced in the thread (#10616, #11317) are still open and unmerged. The migration should read the legacy `openAiModelInfo.contextWindow` instead of hardcoding 128k; worth also confirming a freshly configured 1M window in the 4.0 OpenAI-Compatible settings survives to the request."
10566,https://github.com/cline/cline/issues/10566,Invalid API reponse in plan mode with qwen/qwen3.5-flash model,2026-05-06,2026-06-25,gbrennon,VS Code|beta,sdk-llms,bug,needs-info,unsure,medium,yes,,invalid-api-response-empty,"The exact message (""Invalid API Response: The provider returned an empty or unparsable response…"") does not exist anywhere on main; the nearest equivalents are `""Model returned empty response""` thrown when `message.content.length === 0` in `sdk/packages/agents/src/agent-runtime.ts:646-652`, and `EMPTY_CONTENT_TEXT` in `sdk/packages/shared/src/llms/ai-sdk-format.ts:75`. So the wording is legacy 3.x, but the underlying failure mode (Cline-gateway model returning no parsable content) is still representable on main.",The reporter supplied a gateway Request ID (LqtjaPhnHWNVabXjHIluSFhelMZGxSsF) and confirmed it was still happening in late June — a maintainer with gateway log access can settle in minutes whether qwen3.5-flash is returning empty completions provider-side.
10569,https://github.com/cline/cline/issues/10569,cline auth does not work on headless server,2026-05-06,2026-07-12,yodog,stale|CLI,cli,bug,already-fixed,no,medium,no,,,"`sdk/packages/core/src/auth/cline.ts:522` now defaults to `useWorkOSDeviceAuth ?? true`, so `cline auth` runs the WorkOS device-authorization flow: it emits a verification URL plus `Enter this code in your browser: <userCode>` (line 552) and polls for tokens, with no local redirect server started at all. `createOAuthClientCallbacks` in `sdk/packages/core/src/auth/client.ts:33-45` always writes the URL to output and fires `openUrl` non-blockingly, and `apps/cli/src/commands/auth.ts:231-236` prints ""Could not open browser automatically; open the URL above manually"" on opener failure. Landed via `0c027d273` (2026-06-09).","The old behavior (block on xdg-open, never print the URL) is gone; safe to close asking the reporter to retest on the current CLI."
10573,https://github.com/cline/cline/issues/10573,Error using Claude Opus 4.7 on Amazon Bedrock: `temperature` is deprecated,2026-05-06,2026-06-03,rameshvr,VS Code,sdk-llms,bug,legacy-only,no,medium,no,,bedrock-temperature-deprecated,"The legacy handler is the culprit: `origin/legacy-extension:apps/vscode/src/core/api/providers/bedrock.ts` hardcodes `temperature: 0` at lines 407, 898, 1221 and 1359. On main `sdk/packages/llms/src/providers/vendors/bedrock.ts` contains no temperature handling at all, and the shared `buildAiSdkStreamConfig` (`sdk/packages/llms/src/providers/ai-sdk.ts:64`) forwards `request.temperature`, which is `undefined` unless the user explicitly configures one (`rg 'temperature: [0-9]'` finds no hardcoded value on the request path).",Second reporter hit the same thing on Opus 4.8. Only residual risk on main is a user manually setting a temperature override for an adaptive-thinking Anthropic model.
10576,https://github.com/cline/cline/issues/10576,Cline SDK migration: Previous task restarts automatically when clicking “New Task” after completion,2026-05-06,2026-07-12,kirtirajsinh-dot,stale|QA|VS Code,vscode-new,bug,needs-info,unsure,medium,yes,,,"Filed against an early SDK-migration beta build (3.82.1777984622, 2026-05-06) of what is now `apps/vscode`. The relevant path is `SdkController.clearTask()` (`apps/vscode/src/sdk/SdkController.ts:1247-1253`), which now sets `turnStateTracker.set(""idle"")` before `taskControl.clearTask()` and re-posts state; `showTaskWithId` carries an explicit comment about not calling `clearTask()` to avoid a session-teardown race (lines 1521-1535). `git log --since=2026-05-06 -- apps/vscode/src/sdk/SdkController.ts` shows ~30 SDK-migration fixes since the report, none named for this symptom.","QA-labeled regression against the extension that is about to ship as 4.0, with a video attached. Cannot be resolved from code alone — a maintainer should re-run the QA steps against current main before release."
10582,https://github.com/cline/cline/issues/10582,Bob generates incorrect comment format in go.mod files.,2026-05-06,2026-07-07,rjmccarty,stale|VS Code,unknown,bug,out-of-scope,no,low,no,,,"""Bob"" is not a Cline product: `rg -w Bob` over /workspace matches only Discord connector test fixtures (`apps/cli/src/connectors/adapters/discord.test.ts`, `connector-host.test.ts`), and the literal `Made with Bob` appears nowhere. No Cline tool or prompt appends attribution comments to generated files.",Filed against the wrong repo; safely auto-closeable.
10585,https://github.com/cline/cline/issues/10585,"MCP Marketplace: Add MisarMail MCP Server (email marketing, 32 tools)",2026-05-07,2026-07-05,mrgulshanyadav,,unknown,feature-request,out-of-scope,no,low,no,,,"The marketplace catalog this submission targets is not in this repo: `apps/vscode/src/core/controller/marketplace/marketplace-helpers.ts` fetches it from the hardcoded `MARKETPLACE_CATALOG_URL = ""https://cline.github.io/marketplace/catalog.json""`, and `sdk/packages/core/src/services/marketplace.ts` only installs entries handed to it. No catalog data file exists anywhere under /workspace.",Belongs in the cline/marketplace repo (catalog.json). Nothing to change in cline/cline. Vendor self-submission; unverified third-party server.
10587,https://github.com/cline/cline/issues/10587,Cline tool call error in plan mode,2026-05-07,2026-07-08,gbrennon,CLI|beta,cli,bug,already-fixed,no,medium,no,,,"Reported against CLI beta 0.0.11 (`apps/cli/package.json` is now 3.0.46). The described symptom — every tool call from a weak model failing in a fresh session — matches commit a1d69fee6 ""fix(llms): stop AI SDK from rejecting malformed tool calls before flexible tool executors can handle them (#12061)"", which removed the strict `validate` callback and added `experimental_repairToolCall` in `sdk/packages/llms/src/providers/ai-sdk.ts` (see the comment at `toAiSdkTools` and `experimental_repairToolCall: repairMalformedToolCall` in the `streamText` call).","Fixed by a1d69fee6 (#12061, 2026-07-03). Reporter's evidence is only a screenshot; ask them to retest on CLI 3.0.x if it recurs."
10588,https://github.com/cline/cline/issues/10588,Terminal interaction freezes on second interaction — Cline doesn't read terminal output after command completes,2026-05-07,2026-07-07,chauvanphuoc,stale|VS Code,vscode-new,bug,duplicate,no,high,no,12079,terminal-skipped-hang,"The legacy orchestrator the report describes was deleted: commit 12703bf40 ""Improve VS Code terminal reliability: OSC 633 parser, exit codes, timeout handling (#11972)"" removed `apps/vscode/src/integrations/terminal/CommandOrchestrator.ts` (685 lines) and rewrote `apps/vscode/src/hosts/vscode/terminal/VscodeTerminalProcess.ts`, which now races each `iterator.next()` against an idle timeout, `onDidCloseTerminal`, and `onDidEndTerminalShellExecution` (with `EXIT_CODE_EVENT_TIMEOUT_MS`) so the read loop can no longer park forever. Follow-ups 8b4d1973b (#12352, reclaim unobserved fallback terminals) and a41129a5d (#12320) harden the same path.","Owned by apps/vscode terminal host. Worth a confirmation retest on the 4.x extension before closing, but the exact hang mechanism no longer exists in the code."
10590,https://github.com/cline/cline/issues/10590,replace_in_file が反映されず、書き込まれなかったです。,2026-05-07,2026-07-07,jyumaa,stale|VS Code,vscode-new,bug,legacy-only,no,medium,no,,legacy-replace-in-file,"`replace_in_file` is no longer a real tool on `main`: `sdk/packages/core/src/runtime/orchestration/runtime-builder.ts` maps it as a legacy alias (`replace_in_file: ""editor""`) and `apps/vscode/src/sdk/message-translator.ts` only uses the name to render historical tasks. The success string the reporter saw, `fileEditWithoutUserChanges` (""The content was successfully saved to ..."") in `apps/vscode/src/core/prompts/responses.ts`, has no remaining call sites — the SEARCH/REPLACE diff applier that could silently no-op was removed with the SDK migration.",Filed against 3.82.0. The new `editor` tool applies structured edits through `apps/vscode/src/sdk/sdk-diff-edit-coordinator.ts`; the old SEARCH/REPLACE-block applier is gone.
10591,https://github.com/cline/cline/issues/10591,Cline tool call error when using GPT5.5 - Cline stops in middle and advising me to use Sonnet 4.5,2026-05-07,2026-07-07,ultramathi,stale|CLI,vscode-new,bug,duplicate,no,low,no,10500,weak-model-mistake-limit,"The specific message the title describes (the 3.x mistake-limit copy suggesting Claude Sonnet) does not exist on `main` — grepping the tree finds no such string. The limit now produces `buildMistakeLimitStopMessage` in `sdk/packages/core/src/runtime/safety/mistake-tracker.ts` (""Stopped after N/M consecutive mistakes...""), and commit e4091c368 (#12561) just changed the extension to stop cleanly at the limit instead of blocking on an ask.",Report has an empty 'Steps to reproduce' and only a screenshot. Underlying weak-tool-call cause is the same one fixed by a1d69fee6 (#12061).
10595,https://github.com/cline/cline/issues/10595,Cline SDK migration: Task size value not displays in delete task tooltip,2026-05-07,2026-07-07,kirtirajsinh-dot,stale|QA|VS Code,vscode-new,bug,already-fixed,no,low,no,,,"Commit ca128cfd9 ""Fix SDK task size in delete tooltip (#11277)"" landed on `main`. `apps/vscode/src/sdk/sdk-task-history.ts` now backfills the size by measuring the session artifact directory (`getCachedTaskSize` / `getFolderSize.loose` around lines 546/640) and caches it in `metadata.size`, with coverage in `sdk-task-history.test.ts` (""backfills SDK task size from the session artifact directory""). The `--` placeholder in `formatDeleteTaskSizeLabel.ts` is now only the genuinely-unknown case.",QA-filed cosmetic issue; fixed by ca128cfd9 (#11277).
10596,https://github.com/cline/cline/issues/10596,"Cline's OpenRouter integration lacks provider pinning, inflating costs by 3-5x",2026-05-07,2026-06-04,IgorShishkin12,VS Code,sdk-llms,feature-request,feature-request,yes,medium,yes,,,"Partially addressed: `sdk/packages/llms/src/providers/builtins.ts` now attaches `OPENROUTER_STICKY_SESSION_METADATA` (`transport: ""json-body"", field: ""session_id""`), injected per request by `resolveStickySession`/`injectJsonBodyStickySession` in `sdk/packages/llms/src/providers/ai-sdk.ts` (commit a3b329546, ""fix(llms): includes session id for OpenRouter caching (#11744)""). The reporter's explicit asks are still unimplemented — grepping the whole tree finds no `provider.order`, no `allow_fallbacks`, and no extra-request-body field; `openRouterProviderSorting` in `sdk/packages/llms/src/providers/config.ts` remains the only routing control.",Owned by @cline/llms. Sticky sessions (a3b329546) cover the cache-locality cost argument; the allowlist / preset-passthrough / extra-body asks are open. Note one comment on the issue is affiliate spam for 'tokenbus.org'.
10600,https://github.com/cline/cline/issues/10600,Issue with Claude Code Provider,2026-05-08,2026-06-09,binhtlthien,VS Code,sdk-llms,bug,duplicate,no,medium,no,10135,claude-code-exit-code-1,"Every log line in the report (`Unrecognized Claude Code chunk type: result`, `Error during Claude Code execution`, `Claude Code rate limit event`) is absent from the tree, and `apps/vscode/src/integrations/claude-code/` — the file PR #11169 patches — was deleted by 94f5a47a5/1f31738b3 (2026-06-24). Claude Code now goes through the upstream `ai-sdk-provider-claude-code` package via `createClaudeCodeProviderModule` in `sdk/packages/llms/src/providers/vendors/community.ts`; the hand-rolled CLI spawner and chunk parser that produced 'Command failed with exit code 1' no longer exist.","PR #11169 is still OPEN but edits a deleted path, so it can't merge as-is — a maintainer should close/redirect it. Also contains an obvious spam comment ('TokenMK') worth hiding."
